合同号,客户名,合同标题,合同总额,已回款,应收未结,合同到期日,原关闭原因,关闭时间,负责人,签订人
QT-HT-2026-3033,杭州市余杭区径山镇人民政府,杭州市余杭区径山镇人民政府-其它-2024年,828000.00,272660.00,555340.00,2024-12-30 16:00:00,overdue_terminated,2026-06-26 10:00:04,周晓晴,周晓晴
QT-HT-2026-3113,杭州市余杭区人民政府五常街道办事处,杭州市余杭区人民政府五常街道办事处-社会化服务-2025年,1786666.66,1339999.98,446666.68,2026-05-06 16:00:00,,2026-06-23 03:18:57,吴增苗,吴增苗
QT-HT-2026-3105,杭州市余杭区瓶窑镇人民政府,杭州市余杭区瓶窑镇人民政府-社会化服务-2025年,1468000.00,1095000.00,373000.00,2026-04-29 16:00:00,,2026-06-23 03:18:57,吴增苗,吴增苗
QT-HT-2026-1440,杭州市余杭区人民政府中泰街道办事处,杭州市余杭区人民政府中泰街道办事处-其它-2021年,150000.00,0,150000.00,2022-02-27 16:00:00,overdue_terminated,2026-06-26 10:00:05,胡建国,朱越华
QT-HT-2026-3087,浙江余杭经济开发区管理委员会,浙江余杭经济开发区管理委员会-社会化服务-2025年,250000.00,125000.00,125000.00,2025-12-30 16:00:00,overdue_terminated,2026-06-26 10:00:07,朱越华,朱越华
QT-HT-2026-3030,杭州市余杭区瓶窑镇人民政府,杭州市余杭区瓶窑镇人民政府-其它-2024年,95000.00,0,95000.00,2024-12-30 16:00:00,overdue_terminated,2026-06-26 10:00:06,周晓晴,周晓晴
QT-HT-2026-3036,杭州市余杭区径山镇人民政府,杭州市余杭区径山镇人民政府-其它-2024年,49600.00,0,49600.00,2024-01-30 16:00:00,overdue_terminated,2026-06-26 10:00:06,周晓晴,周晓晴
QT-HT-2026-3035,杭州市余杭区径山镇人民政府,杭州市余杭区径山镇人民政府-其它-2024年,48800.00,0,48800.00,2024-02-28 16:00:00,overdue_terminated,2026-06-26 10:00:06,周晓晴,周晓晴
QT-HT-2026-3034,杭州市余杭区径山镇人民政府,杭州市余杭区径山镇人民政府-其它-2024年,46400.00,0,46400.00,2024-03-30 16:00:00,overdue_terminated,2026-06-26 10:00:07,周晓晴,周晓晴
HZQT20240196,（园区）杭州云墨智谷新材料科技发展有限公司,（园区）杭州云墨智谷新材料科技发展有限公司-社会化服务-2024年,75000.00,37500.00,37500.00,2027-05-08 16:00:00,,2026-06-25 08:00:32,刘丽华,叶绿明
QT-HT-2026-1443,浙江创致物业服务有限公司,浙江创致物业服务有限公司-应急预案-2021年,36000.00,0,36000.00,2021-12-06 16:00:00,overdue_terminated,2026-06-26 10:00:06,叶绿明,朱越华
